,id,set_name,img,text,gold_hate,gold_pc,gold_attack,pc,attack
0,42953,train,img/42953.png,its their character not their color that matters,['not_hateful'],['pc_empty'],['attack_empty'],None,None
1,23058,train,img/23058.png,don't be afraid to love again everyone is not like your ex,['not_hateful'],['pc_empty'],['attack_empty'],None,None
2,13894,train,img/13894.png,putting bows on your pet,['not_hateful'],['pc_empty'],['attack_empty'],None,None
3,37408,train,img/37408.png,i love everything and everybody! except for squirrels i hate squirrels,['not_hateful'],['pc_empty'],['attack_empty'],None,None
4,82403,train,img/82403.png,"everybody loves chocolate chip cookies, even hitler",['not_hateful'],['pc_empty'],['attack_empty'],None,None
5,16952,train,img/16952.png,go sports! do the thing! win the points!,['not_hateful'],['pc_empty'],['attack_empty'],None,None
6,76932,train,img/76932.png,fine you're right. now can we fucking drop it?,['not_hateful'],['pc_empty'],['attack_empty'],None,None
7,2973,train,img/02973.png,how long can i run? till the chain tightens,['not_hateful'],['pc_empty'],['attack_empty'],None,None
8,58306,train,img/58306.png,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored",['not_hateful'],['pc_empty'],['attack_empty'],None,None
9,34096,train,img/34096.png,"removes polish with chemicals, nobody bats an eye",['not_hateful'],['pc_empty'],['attack_empty'],None,None
10,19324,train,img/19324.png,when you're the only dog left at the dog shelter and the black family wants to adopt you,['not_hateful'],['pc_empty'],['attack_empty'],None,None
11,79346,train,img/79346.png,voting for hillary is like letting casey anthony watch your kids because she's not guilty,['not_hateful'],['pc_empty'],['attack_empty'],None,None
12,13426,train,img/13426.png,they will soon be free,['not_hateful'],['pc_empty'],['attack_empty'],None,None
13,97628,train,img/97628.png,"is it ok for your son or daughter to call another man ""daddy?",['not_hateful'],['pc_empty'],['attack_empty'],None,None
14,14238,train,img/14238.png,most religions are religions of peace,['not_hateful'],['pc_empty'],['attack_empty'],None,None
15,28936,train,img/28936.png,when you find out there's an opening for the role of first lady,['not_hateful'],['pc_empty'],['attack_empty'],None,None
16,59784,train,img/59784.png,if people reject me because i stand on the truth then i have no problem walking alone,['not_hateful'],['pc_empty'],['attack_empty'],None,None
17,2146,train,img/02146.png,from the bottom of my heart i would like to sincerely apologize..... for being white,['not_hateful'],['pc_empty'],['attack_empty'],None,None
18,70146,train,img/70146.png,"lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border",['not_hateful'],['pc_empty'],['attack_empty'],None,None
19,28061,train,img/28061.png,just because they do this dosen't mean they'll do this,['not_hateful'],['pc_empty'],['attack_empty'],None,None
20,49752,train,img/49752.png,here's to all my friends who never post about politics or religion,['not_hateful'],['pc_empty'],['attack_empty'],None,None
21,25610,train,img/25610.png,enjoying a day at the beach,['not_hateful'],['pc_empty'],['attack_empty'],None,None
22,72640,train,img/72640.png,"is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.",['not_hateful'],['pc_empty'],['attack_empty'],None,None
23,64318,train,img/64318.png,when they take too long to blow out the candle,['not_hateful'],['pc_empty'],['attack_empty'],None,None
24,17956,train,img/17956.png,one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell,['not_hateful'],['pc_empty'],['attack_empty'],None,None
25,10743,train,img/10743.png,move to new york they said it'll be fun they said,['not_hateful'],['pc_empty'],['attack_empty'],None,None
26,37091,train,img/37091.png,my sandwich-maker is very slow today,['not_hateful'],['pc_empty'],['attack_empty'],None,None
27,25719,train,img/25719.png,when you accidentally fall in the toilet,['not_hateful'],['pc_empty'],['attack_empty'],None,None
28,76825,train,img/76825.png,two woman walking home together after a nice day out together,['not_hateful'],['pc_empty'],['attack_empty'],None,None
29,72598,train,img/72598.png,texas churches be like... pew pew pew,['not_hateful'],['pc_empty'],['attack_empty'],None,None
30,43078,train,img/43078.png,i don't always have a heat stroke and get frostbite in the same week but when i do i know i'm in kentucky,['not_hateful'],['pc_empty'],['attack_empty'],None,None
31,51846,train,img/51846.png,doesn't wear tampons because she trips over the string,['not_hateful'],['pc_empty'],['attack_empty'],None,None
32,1569,train,img/01569.png,when you can't decide to pre heat the oven or just throw the meal in right away,['not_hateful'],['pc_empty'],['attack_empty'],None,None
33,95812,train,img/95812.png,happy shot in the face day 5-2-2011,['not_hateful'],['pc_empty'],['attack_empty'],None,None
34,6418,train,img/06418.png,1 bomb every minute,['not_hateful'],['pc_empty'],['attack_empty'],None,None
35,53976,train,img/53976.png,black power comes with a lot of responsibility,['not_hateful'],['pc_empty'],['attack_empty'],None,None
36,70193,train,img/70193.png,that chiken is so black no one is going to eat it,['not_hateful'],['pc_empty'],['attack_empty'],None,None
37,60427,train,img/60427.png,i hope both teams lose,['not_hateful'],['pc_empty'],['attack_empty'],None,None
38,78395,train,img/78395.png,say the damn pronouns,['not_hateful'],['pc_empty'],['attack_empty'],None,None
39,4876,train,img/04876.png,goin,['not_hateful'],['pc_empty'],['attack_empty'],None,None
40,92075,train,img/92075.png,we need problem solvers not racist and religious bigots in office,['not_hateful'],['pc_empty'],['attack_empty'],None,None
41,86354,train,img/86354.png,officer down,['not_hateful'],['pc_empty'],['attack_empty'],None,None
42,10263,train,img/10263.png,"rep. dan crenshaw former navy seal decorated war hero literally lost an eye ""doing something about terrorism"" rep.ocasio-cortez former bartender supports socialism told dan crenshawn he should ""do something about terrorism""",['not_hateful'],['pc_empty'],['attack_empty'],None,None
43,48279,train,img/48279.png,nice watch must have cost an arm and a leg,['not_hateful'],['pc_empty'],['attack_empty'],None,None
44,58371,train,img/58371.png,when you suck at photoshop,['not_hateful'],['pc_empty'],['attack_empty'],None,None
45,27401,train,img/27401.png,for the last time.. i'm not michelle obama,['not_hateful'],['pc_empty'],['attack_empty'],None,None
